date_key,region_key,service_key,incident_count
202410,6,2,17
202410,6,3,4
202410,6,4,4
202410,7,1,14
202410,7,2,18
202410,7,3,4
202410,7,4,5
202411,1,1,15
202411,1,2,22
202411,1,3,0
202411,1,4,8
202411,2,1,21
202411,2,2,20
202411,2,3,2
202411,2,4,3
202411,3,1,10
202411,3,2,24
202411,3,3,0
202411,3,4,0
202411,4,1,9
202411,4,2,9
202411,4,3,0
202411,4,4,3
202411,5,1,7
202411,5,2,20
202411,5,3,5
202411,5,4,2
202411,6,1,9
202411,6,2,26
202411,6,3,0
202411,6,4,4
202411,7,1,7
202411,7,2,12
202411,7,3,3
202411,7,4,9
202412,1,1,12
202412,1,2,17
202412,1,3,5
202412,1,4,6
202412,2,1,26
202412,2,2,24
202412,2,3,2
202412,2,4,8
202412,3,1,15
202412,3,2,14
202412,3,3,5
202412,3,4,5
202412,4,1,26
202412,4,2,13
202412,4,3,2
202412,4,4,4
202412,5,1,21
202412,5,2,24
202412,5,3,4
202412,5,4,2
202412,6,1,17
202412,6,2,10
202412,6,3,8
202412,6,4,0
202412,7,1,11
202412,7,2,7
202412,7,3,1
202412,7,4,4
202501,1,1,12
202501,1,2,18
202501,1,3,1
202501,1,4,5
202501,2,1,21
202501,2,2,13
202501,2,3,4
202501,2,4,9
202501,3,1,13
202501,3,2,17
202501,3,3,8
202501,3,4,8
202501,4,1,20
202501,4,2,14
202501,4,3,3
202501,4,4,3
202501,5,1,17
202501,5,2,15
202501,5,3,2
202501,5,4,4
202501,6,1,20
202501,6,2,19
202501,6,3,0
202501,6,4,7
202501,7,1,20
202501,7,2,18
202501,7,3,6
202501,7,4,3
202502,1,1,9
202502,1,2,18
202502,1,3,6
202502,1,4,6
202502,2,1,22
202502,2,2,14
202502,2,3,8
202502,2,4,0
202502,3,1,15
202502,3,2,13
202502,3,3,9
202502,3,4,2
202502,4,1,12
202502,4,2,23
202502,4,3,0
202502,4,4,4
202502,5,1,16
202502,5,2,26
202502,5,3,1
202502,5,4,2
202502,6,1,19
202502,6,2,18
202502,6,3,5
202502,6,4,1
202502,7,1,11
202502,7,2,26
202502,7,3,7
202502,7,4,3
202503,1,1,25
202503,1,2,21
202503,1,3,9
202503,1,4,0
202503,2,1,8
202503,2,2,23
202503,2,3,1
202503,2,4,3
202503,3,1,14
202503,3,2,18
202503,3,3,6
202503,3,4,9
202503,4,1,14
202503,4,2,11
202503,4,3,9
202503,4,4,8
202503,5,1,11
202503,5,2,12
202503,5,3,8
202503,5,4,4
202503,6,1,15
202503,6,2,9
202503,6,3,8
202503,6,4,9
202503,7,1,19
202503,7,2,24
202503,7,3,4
202503,7,4,5
202504,1,1,14
202504,1,2,21
202504,1,3,7
202504,1,4,9
202504,2,1,12
202504,2,2,13
202504,2,3,0
202504,2,4,4
202504,3,1,14
202504,3,2,7
202504,3,3,5
202504,3,4,2
202504,4,1,9
202504,4,2,22
202504,4,3,9
202504,4,4,2
202504,5,1,6
202504,5,2,12
202504,5,3,9
202504,5,4,9
202504,6,1,15
202504,6,2,25
202504,6,3,7
202504,6,4,3
202504,7,1,15
202504,7,2,24
202504,7,3,7
202504,7,4,3
202505,1,1,13
202505,1,2,9
202505,1,3,2
202505,1,4,0
202505,2,1,20
202505,2,2,16
202505,2,3,4
202505,2,4,5
202505,3,1,18
202505,3,2,19
202505,3,3,2
202505,3,4,3
202505,4,1,20
202505,4,2,24
202505,4,3,8
202505,4,4,8
202505,5,1,9
202505,5,2,18
202505,5,3,9
202505,5,4,6
202505,6,1,20
202505,6,2,19
202505,6,3,0
202505,6,4,9
202505,7,1,25
202505,7,2,8
202505,7,3,6
202505,7,4,5
202506,1,1,7
202506,1,2,13
202506,1,3,1
202506,1,4,5
202506,2,1,19
202506,2,2,18
202506,2,3,3
202506,2,4,8
202506,3,1,12
202506,3,2,12
202506,3,3,9
202506,3,4,2
202506,4,1,18
202506,4,2,14
202506,4,3,3
202506,4,4,0
202506,5,1,17
202506,5,2,16
202506,5,3,2
202506,5,4,8
202506,6,1,17
202506,6,2,13
202506,6,3,1
202506,6,4,6
202506,7,1,26
202506,7,2,18
202506,7,3,4
202506,7,4,5
202507,1,1,17
202507,1,2,19
202507,1,3,2
202507,1,4,2
202507,2,1,18
202507,2,2,16
202507,2,3,4
202507,2,4,1
202507,3,1,15
202507,3,2,18
202507,3,3,4
202507,3,4,4
202507,4,1,5
202507,4,2,8
202507,4,3,4
202507,4,4,2
202507,5,1,19
202507,5,2,19
202507,5,3,3
202507,5,4,2
202507,6,1,7
202507,6,2,24
202507,6,3,7
202507,6,4,0
202507,7,1,14
202507,7,2,16
202507,7,3,6
202507,7,4,1
202508,1,1,24
202508,1,2,21
202508,1,3,7
202508,1,4,1
202508,2,1,19
202508,2,2,17
202508,2,3,1
202508,2,4,0
202508,3,1,21
202508,3,2,16
202508,3,3,4
202508,3,4,9
202508,4,1,15
202508,4,2,12
202508,4,3,3
202508,4,4,2
202508,5,1,7
202508,5,2,12
202508,5,3,0
202508,5,4,0
202508,6,1,23
202508,6,2,17
202508,6,3,8
202508,6,4,6
202508,7,1,23
202508,7,2,24
202508,7,3,3
202508,7,4,7
202509,1,1,13
202509,1,2,10
202509,1,3,9
202509,1,4,8
202509,2,1,24
202509,2,2,12
202509,2,3,1
202509,2,4,8
202509,3,1,8
202509,3,2,17
202509,3,3,3
202509,3,4,2
202509,4,1,10
202509,4,2,13
202509,4,3,9
202509,4,4,9
202509,5,1,14
202509,5,2,9
202509,5,3,9
202509,5,4,0
202509,6,1,20
202509,6,2,11
202509,6,3,7
202509,6,4,8
202509,7,1,10
202509,7,2,16
202509,7,3,4
202509,7,4,2
202510,1,1,21
202510,1,2,12
202510,1,3,0
202510,1,4,1
202510,2,1,20
202510,2,2,18
202510,2,3,6
202510,2,4,0
202510,3,1,20
202510,3,2,11
202510,3,3,4
202510,3,4,8
202510,4,1,17
202510,4,2,13
202510,4,3,9
202510,4,4,2
202510,5,1,16
202510,5,2,20
202510,5,3,4
202510,5,4,0
202510,6,1,14
202510,6,2,19
202510,6,3,6
202510,6,4,8
202510,7,1,15
202510,7,2,18
202510,7,3,6
202510,7,4,1
202511,1,1,9
202511,1,2,27
202511,1,3,0
202511,1,4,7
202511,2,1,13
202511,2,2,13
202511,2,3,0
202511,2,4,9
202511,3,1,22
202511,3,2,13
202511,3,3,7
202511,3,4,9
202511,4,1,19
202511,4,2,20
202511,4,3,8
202511,4,4,0
202511,5,1,6
202511,5,2,17
202511,5,3,3
202511,5,4,5
202511,6,1,14
202511,6,2,5
202511,6,3,6
202511,6,4,6
202511,7,1,13
202511,7,2,20
202511,7,3,9
202511,7,4,4
202512,1,1,9
202512,1,2,24
202512,1,3,6
202512,1,4,7
202512,2,1,12
202512,2,2,17
202512,2,3,5
202512,2,4,3
202512,3,1,17
202512,3,2,21
202512,3,3,5
202512,3,4,6
202512,4,1,17
202512,4,2,22
202512,4,3,1
202512,4,4,6
202512,5,1,15
202512,5,2,22
202512,5,3,7
202512,5,4,4
202512,6,1,13
202512,6,2,17
202512,6,3,0
202512,6,4,2
202512,7,1,13
202512,7,2,14
202512,7,3,8
202512,7,4,5
